리뷰 내용,상품 URL
보시다 싶이 좀 돼지라 사이즈 정사이즈 사니까 달라붙네요 한치수 업해서 사시는거 권해드립니다 그냥 이거만 입으면 별로고 레이어드해서입으십쇼,https://www.musinsa.com/review/goods/2086653
일본 여행가서 잘 입었습니다. 정말 맘에 드네요 굿굿!,https://www.musinsa.com/review/goods/2086653
믿고쓰는 무탠다드 여벌로 더 추가구매 예정입니당,https://www.musinsa.com/review/goods/2086653
저는 키 173에 68키로인데 M사이즈를 입어도 충분히 레이어드 길이가 나오고 생각보다 사이즈가 커서 한사이즈 줄여서 구매하는것도 좋은거 같아요. 저도 평소엔 L사이즈를 입는데 한사이즈를 줄여서 구매했습니다. 레이어드도 이쁘게 잘 되는거 같고 가성비 짱인거 같습니다.,https://www.musinsa.com/review/goods/2086653
"저렴한데 질 좋고 괜찮아요! 일반기장인데도 키작은 사람들한테는 레이어드하기 적당한 길이에요 알바비 받으면 5개정도 쟁이러 다시 올게요 ,,!",https://www.musinsa.com/review/goods/2086653
아주 좋습니다. 레이어드 하기 너무 좋아서 하나더 구매하였습니다.,https://www.musinsa.com/review/goods/2086653
딱 레이어드용으로 두께랑 핏이랑 길이가 모두 적당해요! 165센치 기준 M사이즈가 딱 엉덩이 덮는 기장입니다!!,https://www.musinsa.com/review/goods/2086653
진짜 믿고보는 무신사 스탠다드인 듯요. 레이어드는 앞으로 이걸로 사야겠어요!,https://www.musinsa.com/review/goods/2086653
한번 빠니깐 좀 작아졌어요 시@불 171이신분은 라지 입으세여,https://www.musinsa.com/review/goods/2086653
"제 스펙이면 68정도길이 맨투맨,후드티랑 레이어드 하기 좋습니다",https://www.musinsa.com/review/goods/2086653
레이어드용으로 무난합니다 XL은 기장이 좀 길게떨어져서 L로 재구매했어요~,https://www.musinsa.com/review/goods/2086653
"너무 좋아서 일주일에 7일 입는 수준,,
박시한 후드티안에 입으려고 샀는데 너무 좋아요
색감, 두께, 목둘레, 길이 등 진짜 완벽함
기본템으로 진짜 강추고, 주저말고 구매하세요!,,

기본 흰티도 괜찮은 거 은근 찾기 힘든데
앞으로 무신사 스탠다드로 정착할 것 같아요💙
작은 사이즈로 하나 더 구매하려그요!",https://www.musinsa.com/review/goods/2086653
안에 받쳐 입으려고 샀는 데 길이가 딱 좋아요 추천요,https://www.musinsa.com/review/goods/2086653
긴기장 S사이즈랑 비슷한 것 같네요. 기장은 어떤옷에 레이어드 하냐가 중요한것 같네요,https://www.musinsa.com/review/goods/2086653
"•계절: 언제든 입어도 좋습니다. 레이어드 안 하고 하나만 입어도 충분히 예뻐요.
•재질: 약간 빳빳한데, 부드러워요. 비치지 않습니다.
•스타일: 어떤 옷이든 레이어드하면 정말 예쁘고, 저는 넉넉하게 입는 것을 좋아하는데, 그럼에도 충분히 레이어드요서 좋습니다.
•팁: 겉옷이 레이어드티보다 손가락 한 마디에서 두 마디쯤 짧은 게 제일 레이어드티의 매력을 살려주는 것 같아요.",https://www.musinsa.com/review/goods/2086653
"보시는것처럼 딱 사이즈가 맞습니다
제 키 정도되시는 분은 m사이즈 시키세요
l은 너무 길어요",https://www.musinsa.com/review/goods/2086653
기본템은 이제 사이즈만 맞으면 무탠다드에서만 구매하네요. 겨울철 레이어드 필수템.,https://www.musinsa.com/review/goods/2086653
"레이어드해서 입을 흰 티 찾다가 예전에 무신사에서 이벤트로 받은 흰 티 재질이 너무 좋았던 게 기억나서 찾았는데 진짜 너무너무 좋아요!!! 무엇보다 재질이 정말 좋고 목 늘어남도 거의 없어요 밑단에 트임이 있어서 레이어드 했을 때 진짜 예쁘고 다만 살짝 아쉬운 건 아주 살짝 길다는 것?,,,, 한 5mm만 짧으면 제 키랑 비슷하신 분들은 너무너무 예쁘게 잘 맞을 것 같아요! 그리고 키가 엄청 크시거나 사이즈를 크게 입으시는 분 빼고는 여성분들은 무적권 xs 사시는 게 좋을 것 같아요!!!",https://www.musinsa.com/review/goods/2086653
기본 무지 반팔티입니다 앞으로 자주 사러 오겠습니다,https://www.musinsa.com/review/goods/2086653
레이어드 기본티로 아주 좋습니다. 기장이 생각보다 기니 한 사이즈 다운 추천이요!,https://www.musinsa.com/review/goods/2086653
"170 넘는 여성분들은 s사시면 딱 적당합니다!!
총기장 66~68인 옷에 딱 이쁘게 레이어드됩니다!
68~70인 옷은 밑단 시보리를 접어서 레이어드하면 딱 좋아요~
키 작은 여성분들은 s가 많이 길거에요!!!
너무 좋아서 한 장 더 구매했어요~~",https://www.musinsa.com/review/goods/2086653
"배송 좋으네요 기장도 괜찮네요 잘입을께요
재질은 얇아요",https://www.musinsa.com/review/goods/2086653
"일단 여성분들이 입기에는 핏 자체가 그다지 이쁜 핏은 아닙니다!
폼이 얄쌍하게 떨어져서 허벅지나 골반이 있으신 분들은 무조건.... 하체에서 껴요.... 안이쁜핏... 물론 엄청 마르신 분들은 소화가능하실듯합니다! 저한테는 핏이 안이뻐서 저보다 훨씬 마른.. 어머니 드렸어용 ㅜ",https://www.musinsa.com/review/goods/2086653
원래 160여자가 입으려했는데 커서 남동생 줬더니 잘 맞아요. 재질이 탄탄합니다,https://www.musinsa.com/review/goods/2086653
