URL,리뷰 내용
https://www.musinsa.com/review/goods/1620237,"M 사이즈도 기장은 기네요. 넣입하면 해결.
니트가 엄청 잘 늘어날 거 같아 (특히 목부분) 입을때도 조심히 입고 벗을때도 조심히 벗어야 할 것 같아요.

목부분 얘기를 더 하자면 시보리는 없다 생각하시면 되고 안에 뭐 입고 입으실때 이너랑 니트 위치조정 안하면 후줄근해지니깐 입고나서도 은근 신경써줘야 하는 니틉니다. 

이쁘긴 이뻐요"
https://www.musinsa.com/review/goods/1620237,목라인이 원래 되게 넓은 것 같아요! 늘어나는 거 주의해서 입어야할 것 같습니다
https://www.musinsa.com/review/goods/1620237,"라지는 작아서 엑라갔는데 좀 크긴해요
목이 잘 늘어나네요"
https://www.musinsa.com/review/goods/1620237,원래 생각했던거보다 얇다는걸 빼면 괜찮습니다
https://www.musinsa.com/review/goods/1620237,너무너무 예쁘고 드디어 폴로 니트 샀습니다 비싸지만 폴로니까 좋아요
https://www.musinsa.com/review/goods/1620237,키178 몸무게 70인데 딱맞고 가격대비 비싸지만 이쁘고 좋아요
https://www.musinsa.com/review/goods/1620237,키178 몸무게 70인데 딱맞고 가격대비 비싸긴하나 이쁨
https://www.musinsa.com/review/goods/1620237,옷이 전반적으로 큽니다. 이쁘지만 역시 이 가격대의 퀄리티는 아닙니다.
https://www.musinsa.com/review/goods/1620237,이쁘긴 이쁜대 목부분이 좀 넓고 잘 늘어나요. 통은 괜찮은대 소매랑 기장이 너무 기네요 좀 아쉬움.. 180에 70이면 m사세여
https://www.musinsa.com/review/goods/1620237,사이즈 딱맞아요 만족합니다 폴로라 그런지 확실히 좋네요
https://www.musinsa.com/review/goods/1620237,"니트하나 필요했어서 샀는데 매우 만족스럽네요
다만 생각보다 어디입기 어려움ㅠㅠ"
https://www.musinsa.com/review/goods/1620237,와 진짜 이뻐요 니트 살거면 무조건 폴로 니트 사세요
https://www.musinsa.com/review/goods/1620237,릴렉스핏으로 떨어져서 여유가 있어서 예쁜데 목이 좀 많이 넓네요..
https://www.musinsa.com/review/goods/1620237,확실히 비싼만큼 소재도 좋고 핏도 예쁘네요 잘 입고 다닐 거 같아요
https://www.musinsa.com/review/goods/1620237,가을에 입을 스웨터 하나 괜찮게 구한거 같아요 따뜻하게 잘 입을게요
https://www.musinsa.com/review/goods/1620237,사이즈는 우선 잘 맞구 이쁜데 잘 늘어날꺼같아여
https://www.musinsa.com/review/goods/1620237,"보통 상의 110 입는데 적당히 잘 맞네요
부드러워서 이너 없이도 입을만 합니다"
https://www.musinsa.com/review/goods/1620237,옷은 너무 예쁘고 좋지만 사이즈가 어정쩡한 감은 있네요 라지가 생각보다 많이 큽니당
https://www.musinsa.com/review/goods/1620237,"급하게 샀는데 만족합니다!
사이즈는 넉넉하구요, 안에 셔츠 받쳐 입으면 좋아요"
https://www.musinsa.com/review/goods/1620237,생각보다 살짝 오버핏이에요 부드럽고 옷은 예뻐요
https://www.musinsa.com/review/goods/1620237,사이즈 안 맞을까봐 걱정했는데 잘 맞네요 다행히
https://www.musinsa.com/review/goods/1620237,"총장이 생각보다 안길어보여서 xl로 구입했는데 기장은 딱 엉덩이까지 오는데 팔이 진짜 길어요 두번 접어서 입었는데도 손목밑쪽까지오네요
재질은 까칠하지않고 부드러워서 면은 마음에 들어요 다음에는 조금 작은 사이즈로 구입해도 괜찮을거같아요"
https://www.musinsa.com/review/goods/1620237,폴로 전형적인 키이블니트입니다 재질도 어렸을때 입던 그재질그대로...입다보면 좀 늘어나는재질이죠~가격대비 만족하고 언제나 기본템^^
https://www.musinsa.com/review/goods/1620237,역시 폴로라 살짝 큰 감이 있지만 딱맞게 입지 않아도 이쁩니다!!
https://www.musinsa.com/review/goods/1620237,"역시 니트는 폴로 니트네요
자주 입고 다닐 것 같습니다."
https://www.musinsa.com/review/goods/1620237,"역시 폴로에요
좋은 가격에 좋은 상품 가져갑니다"
https://www.musinsa.com/review/goods/1620237,무난하게 입기 좋아요 따뜻하고 편해요 겨울용 니트 딱입니다
https://www.musinsa.com/review/goods/1620237,"배송도 빠르고 사이즈도 딱좋아요
올 겨울 따뜻하게 잘입을을수 있을것같아요"
https://www.musinsa.com/review/goods/1620237,굿 아바지가 좋아하십니다 근데 이 가격 주거 사는데 옷 퀄이 좀만 더 조앗으면 좋앗을것 같아용 ^!^
https://www.musinsa.com/review/goods/1620237,사이즈 낙낙하고 아주 좋아요 어느 코디에도 무난할거 같네요
https://www.musinsa.com/review/goods/1620237,폴로 니트 처음으로 사봤는데 오래 입을 것 같아요. 만족스럽습니다.
https://www.musinsa.com/review/goods/1620237,되게 이쁘고 사이드가 은큰 크게 나왔네요 소매가 길어요
https://www.musinsa.com/review/goods/1620237,배송이 빠르고 적립금 적립으로 저렴하게 구입했어요
https://www.musinsa.com/review/goods/1620237,사이즈도 딱 맞고 고급스러워요 고민은 배송만 늦출뿐이죠~~
https://www.musinsa.com/review/goods/1620237,한 사이즈다운하니깐 잘 맞네요 목 많이 늘어날거 같네요 조심해서 입어야겠어요
https://www.musinsa.com/review/goods/1620237,니트가 하나도 없어서 주문했는데 기본스타일로 코디하기 쉽고 너무 만족스러워요. 입었을때 핏도 이뻐요
https://www.musinsa.com/review/goods/1620237,170 이면 s가는게 맞아요 다들 넘 크게 입는거 같은디;;
https://www.musinsa.com/review/goods/1620237,굿 아빠가 조아하십니다 귯~~~ 조심히 예쁘게 입어야될것 강아용
https://www.musinsa.com/review/goods/1620237,"사이즈 100입는데 m하니까 맞아요

폴로감성좋구요
덩치가 좀 커보입니다
ㅎㅎ"
https://www.musinsa.com/review/goods/1620237,역시 폴로네요 색깔도 예쁘고 배송도 빠르고 좋습니다
https://www.musinsa.com/review/goods/1620237,"핏이 잘맞아요 
정품인증 큐알도 잘 됐고, 100사이즈 입는 분들은 딱 좋을 것 같아요"
https://www.musinsa.com/review/goods/1620237,근본니트 색감도이쁨 다만 넥라인이 짱짱하진않음
https://www.musinsa.com/review/goods/1620237,아주 좋습미다. 강추합니다. 딱 지금 계절에 좋아요!
https://www.musinsa.com/review/goods/1620237,제동생 선물이에요! 적립금 많이 줘서 좋았고 로고 이슈로 교횐신청 했는데 처리 속도 엄청 빨랐어요!! 입혀보니 이쁘네요! 추워지면 잘 입을듯 해요!
https://www.musinsa.com/review/goods/1620237,반팔은 라지 입지만 니트는 좀 늘어나서 미디윰 입어야할거 같아요
https://www.musinsa.com/review/goods/1620237,사이즈도 딱맞고 무신사에서 싸게 구매해서 좋습니다
https://www.musinsa.com/review/goods/1620237,폴로가디건 저렴하고 배송빠르게 잘 받았습니다
https://www.musinsa.com/review/goods/1620237,아주 굳입니다 가격만큼 아주 왼벽합니다 추천드려요
https://www.musinsa.com/review/goods/1620237,디자인이 마음에 들어요. 할인할때 싸게 구입했습니다.
https://www.musinsa.com/review/goods/1620237,지금까지 입어봤던 니트 중 1등입니다 이너로 아무것도 안입어도 촉감이 좋아요
https://www.musinsa.com/review/goods/1620237,폴로는 말해뭐할까요 사진이랑 똑같이 예쁩니다
https://www.musinsa.com/review/goods/1620237,폴로니트 말이 필요없어요!! 기본 디자인 너무 이뻐요!
https://www.musinsa.com/review/goods/1620237,"넥 라인이 맘에 안드는데 좋아용
비싸지만 ㅠㅠ 비싼값 하길"
https://www.musinsa.com/review/goods/1620237,목 늘어짐이 심한건 별로 못 느꼈고 이쁘게 잘입었습니다
https://www.musinsa.com/review/goods/1620237,역시 폴로 니트 너무 이쁘고 흔하지만 이뻐서 손이가요
https://www.musinsa.com/review/goods/1620237,너무 만족합니다. 퀄리티 좋고 자수 너무 귀여워용 잘 입을게요
https://www.musinsa.com/review/goods/1620237,이뻐요 폴로면니트 목잘늘어나긴하는데 이뻐서 샀어요
https://www.musinsa.com/review/goods/1620237,생각보다는 평범한 느낌 그래도 깔끔하고 좋아요
https://www.musinsa.com/review/goods/1620237,좋아요 역시 폴로네요 이쁘게 입겠습니다 다만 올이 나간부분이 있어서 아쉽네요
https://www.musinsa.com/review/goods/1620237,폴로 니트 베이직 역시 너무 좋아요. 심플 깔끔 자체네요
https://www.musinsa.com/review/goods/1620237,정말 싸게 잘 샀습니다. 배송도 빠르고 핏도 잘 나옵니다 한치수 작게 사셔야 맞을거 같아요 평소에xl입습니다
https://www.musinsa.com/review/goods/1620237,목 늘어나는거 말고는 이쁘네요 관리잘해서 입겠습니다
https://www.musinsa.com/review/goods/1620237,"아울렛에서 고민했던 옷인데 무신사 가격이 너무 좋아 바로 구매했어요
저렴하게 구매했습니다!!"
https://www.musinsa.com/review/goods/1620237,역시폴로 입니다 근데 목이 너무 잘 늘어나긴하네요
https://www.musinsa.com/review/goods/1620237,"폴로 케이블 니트!! 이미 많이 더워졌지만 스타일도 너무 이쁘고 두께감도 그렇게 두껍지 않아 좋은 거 같습니다!
사이즈는 다른 폴로 제품 대비지 조금 슬림하게 나온 거 같아요!"
https://www.musinsa.com/review/goods/1620237,"너무너무 마음에 들어요~ 왜 이제야 샀나 싶을 정도예요
사이즈 고민 많았는데 아주 딱이에요
잘 관리해서 오래오래 잘 입어보겠습니다"
https://www.musinsa.com/review/goods/1620237,"네이비 니트 찾다가 구매했어요
폴로 니트 예쁘네요 넥라인이 조금 커요"
https://www.musinsa.com/review/goods/1620237,"폴로 20년만에 입었는데 역시 이쁘네요~
팔 기장이 좀 긴거 빼고는 만족합니다~"
https://www.musinsa.com/review/goods/1620237,"할인할때 좋은가격으로 구매했습니다ㅎㅎ
핏과 소재 모두만족합니다~!"
https://www.musinsa.com/review/goods/1620237,역시 폴로답게 로고 감성이 너무 좋아요. 생각보다 소매 길이가 길어서 조금 놀랐어요. 기장도 좀 길어요
https://www.musinsa.com/review/goods/1620237,대란가로 구매해서 기분 좋아요 휘뚜루마뚜루 굳굳
https://www.musinsa.com/review/goods/1620237,기장더 충분해서 넣입하기 좋음. 휘뚜루마뚜루 굳굳
https://www.musinsa.com/review/goods/1620237,폴로 옷답게 팔이 좀 길긴하지만 색감 예쁘고 만족합니다.
https://www.musinsa.com/review/goods/1620237,적당한 두께감에 입고 나서 활동성도 좋네요. 잘 샀어요
https://www.musinsa.com/review/goods/1620237,선물용으로 구매했는데 너무 예쁘다고 하네요. 굿굿
https://www.musinsa.com/review/goods/1620237,사진보다 실물이 더 예쁘고 안에 셔츠를 매치하기 좋아요
https://www.musinsa.com/review/goods/1620237,포인트 니트나 기본 니트로 입기 좋아요 추천합니다
