item_id,review
3791988,"1. 기장은 아주 좋아요 근데 저처럼 마른 사람은 벨트 필수.. 
2. 두께는 적당해요 한여름에 입기에는 좀 더울수도 있어요
3. 바지 색감이 코디하기 좋아요 아무 상의나 아무 신발 신어도 코디하기 쉽고 이쁘게 나와요.
4. 그냥 사세요 진짜 이뻐요 ㅋㅋ"
728000,"1. 무탠다드인 만큼 기본 퀄리티는 보장한다.

2. 사이즈가 완전 정 사이즈여서. 요즘 오버핏에 적응 된 사람들이 입으면. 작게 느껴진다.
    그래서 L샀다가 답답해서 LX추가로 구입했다.

3. 무난하고. 튀는것 없고. 가을 겨울에 니트 이너용으로 딱 좋다."
1551839,"1. 배송이 빨라서 좋았습니다. 주문 후 48시간 내로 배송 왔습니다.
2. 가격 대비 재질이 좋습니다.
3. 쿠폰, 적립금 등 활용하여 싸게 구매하여 좋았습니다.
4. 마지막으로 어디에나 잘 어울려서 활용도가 높아 좋습니다."
4326536,"1. 봉제 퀄리티 좋아요
2. 원단 워싱 아쉬워요( 후드 안쪽 / 몸판 앞뒤 / 소매 / 후드 바깥쪽 모두 칼라가 틀림) 
3. 워싱 문제로 부위별 원단 재단 로트가 모두 다름 (칼라 이색 원인)
4. 어려운 워싱이라 이해하지만 가먼트 워싱이었으면 전체적으로 더 좋았을것 같아요 (불량률이 높겠지만)
5. 지연배송 (원단워싱 문제로 연락 받음)
6. 가성비 + 가심비 좋아요
7. 빈티지 후드로 추천"
4326536,"1. 봉제 퀄리티 좋아요
2. 원단 워싱 아쉬워요( 후드 안쪽 / 몸판 앞뒤 / 소매 / 후드 바깥쪽 모두 칼라가 틀림) 
3. 워싱 문제로 부위별 원단 재단 로트가 모두 다름 (칼라 이색 원인)
4. 어려운 워싱이라 이해하지만 가먼트 워싱이었으면 전체적으로 더 좋았을것 같아요 (불량률이 높겠지만)
5. 지연배송 (원단워싱 문제로 연락 받음)
6. 가성비 + 가심비 좋아요
7. 빈티지 후드로 추천
8. 꼭 구매하세요"
3390508,"1. 사이즈 정사이즈예요. 총기장 팔길이 다 잘 맞아떨어져서 좋아요.
2. 스웨이드인데 뭔가 너무 스웨이드 특유의 그 느낌 아니고 훨씬 입자가 곱고 부드러운 느낌이예요. 개인적으로 스웨이드 재질 막 좋아하는게 아니라 만족해요!
3. 원단이나 박음질 무게 주머니 등등 딱히 하자인 것 없고 무난하게 잘 만들어졌어요 
4. 다른 겉옷이랑 레이어드 해도 잘 받고 안감 마찰이나 낑기는 느낌 없어서 더 추워져도 잘 입을 것 같아요"
4454243,"1. 색깔 굿
2. 착화감 굿
3. 다 잘 어울리 굿
4. 반업 굿"
728000,"1. 유니클로에서 판매하는 옥스포드셔츠랑 비교하는 슬림한 편입니다. 173/73인데 L사이즈 딱 맞아요.
2. 두께는 살짝 얇은 느낌있너요. 엄청 탄탄하고 힘있다. 싶은 느낌은 아님.
3. 전 니트 이너용으로 구입 했는데. 딱 좋은것 같아요.
4. 세일가로 봤을땐. 가성비는 최고인것 같아요."
1778404,"1. 일단 지퍼가 까칠해서 살이 잘 못 스치면 다 까질 것 같음 아플 정도로 까칠 함

2. 까끌거리는 옷 못 입는데 반팔 입고 있었더니 팔이 간지러움

3. 총장 짧은 거는 알고 있었지만 이렇게 짧은 줄은 모름 이건 내 실수

4. 옷이 가오리핏임 가슴에서 아래로 내려 갈 수록 좁아짐 팔 올릴 때 마다 옷이 전체적으로 올라갑니다

결론 동생 줬습니다. 동생은 좋다고 했어요 오버핏으로 입고 싶었는데 저한테는 사이즈가 애매한 듯"
4312154,"1. 장점
 - 핏이 너무 예쁘다
 - 맨살에 입어도 가능할만큼 부드럽다
 - 보풀걱정이 없다
 - 가격대비 퀄리티가 좋다
 - 밑단과 소매 시보리가 짱짱하다

2. 단점
 - 넥라인이 좀 넓다
 - 소매가 매우 길다

한달동안 사용하면서 매우 만족하는 제품입니다! 사이즈는 꼭 한사이즈 다운해서 구매하세요!"
957758,"1. 착화감이 클래식 대비 완전 편함
2. 발등이 타이트하여 반업을 추천하고 본인도 발볼은 넓은편인데 괜찮았음
3. 이쁘다..
4. 볼트와 컴피쿠시의 콜라보제품이 있었으면..."
